ID,Date_in,Sex,weight,Temp,PCV,TP,Lactate ,pH ,pCO2,pO2,Na,K,iCa,Glu,WBC,Heter,Eosin,Lymphs,Date_rel,PCV2,TP2,Lactate2 ,pH2,pCO22,pO22,Na2,K2,iCa2,Glu2,WBC2,Heter2,Eosin2,Lymphs2,survival_s,survival
07816,5/3/16,Male,592,24.3,17,3.4,19.1,6.927,0,16,134,6.3,2.26,380,6400,54,21,19,,,,,,,,,,,,,,,,0,0
17416,5/26/16,Female,2445,20.4,25.8,5,0.9,7.82,19.1,102,123,2.2,0,84,3000,17,60,8,,,,,,,,,,,,,,,,1,
17516,5/26/16,Male,1557,20.4,17.6,4.6,1.2,7.725,26.6,80,121,2.3,1.25,128,7400,73,0,10,,,,,,,,,,,,,,,,1,
17816,5/26/16,Female,2528,21.3,18.2,5.8,16.5,7.345,42.8,13,130,3.4,1.17,239,3400,64,5,24,,,,,,,,,,,,,,,,0,0
18216,5/27/16,Male,1454,26,15.9,4.2,11.6,7.461,39.7,30,128,4.3,0.76,274,2000,82,4,13,,,,,,,,,,,,,,,,0,0
18516,5/27/16,,185,22,6,1,4.3,7.58,24.1,17,130,3,0.97,152,1800,45,41,8,,,,,,,,,,,,,,,,0,0
19016,5/29/16,Female,3121,21,25.9,6.2,0.3,7.581,38.7,16,133,2.9,1.46,149,1800,66,13,12,7/5/16,17,4,0.9,8.011,17.1,60,130,3.5,1.09,43,4600,64,14,8,1,1
20916,6/2/16,Female,1421,20.9,10,23,18.1,7.401,28.4,16,129,4.5,1.16,29,7400,62,28,7,,,,,,,,,,,,,,,,0,0
21616,6/2/16,Female,1636,30.2,28,6.2,10.7,7.447,43.6,14,136,4.5,1.34,104,12200,57,28,10,,,,,,,,,,,,,,,,0,0
21816,6/4/16,Male,1790,21.2,30,6.2,0.3,7.597,37.8,53,135,2.9,1.48,214,8600,87,2,6,9/12/16,23,6,4.7,7.702,31.7,57,133,3.5,1.24,46,7400,50,8,28,1,1
21916,6/4/16,Female,1775,21.5,11.8,2.4,2.1,7.624,29.8,26,134,3.2,1.39,109,8600,62,18,4,7/22/16,13,3.2,1.4,7.891,20.1,70,134,2.6,1.23,48,13200,11,66,16,1,1
22016,6/4/16,Male,1587,21.3,2,1.4,16.5,7.728,11.1,79,106,4.3,0,20,,,,,,,,,,,,,,,,,,,,0,0
22816,6/5/16,Male,923,21.7,25,5.2,0.8,7.7,20.5,85,125,3.8,0,127,5000,81,1,8,7/22/16,22,4.8,0.4,8.092,15.7,117,125,2.6,1.12,52,16600,70,1,14,1,1
23616,6/6/16,Female,2306,28.7,16,5.2,18.5,7.288,25.2,33,110,6.1,0.96,160,6800,80,3,10,,,,,,,,,,,,,,,,0,0
25016,6/9/16,Female,2463,21,17,2.5,2.1,7.379,38.5,14,122,3.4,1.05,77,8400,43,21,10,7/22/16,18,3,0.8,7.914,22.3,95,131,2.6,1.09,61,14800,11,48,21,1,1
25516,6/10/16,Male,510,22,9,1,3.6,7.653,17.2,73,126,3.5,0,70,3000,28,37,18,8/8/16,22,3.4,1.7,7.846,24.7,20,130,2.1,0.97,41,7600,26,58,13,1,1
25716,6/12/16,Female,2232,21,14,2,1.1,7.49,38.1,17,121,3,1.55,103,5400,44,34,12,,,,,,,,,,,,,,,,0,0
25916,6/12/16,Female,2437,23,16,3.6,0.6,7.759,31.5,12,128,3.5,1.17,62,6800,80,0,5,7/2/16,12,3.2,1,7.81,24.9,13,112,3.3,0,91,5600,54,1,24,1,1
26116,6/13/16,Female,2304,21.3,12.7,0.8,0.6,7.524,31.1,21,125,3,0,47,9000,73,8,3,,,,,,,,,,,,,,,,0,0
26416,6/13/16,Female,2112,24.5,10.2,1.4,0,7.286,30.9,42,123,4.5,0.96,130,4200,17,54,14,,,,,,,,,,,,,,,,1,
26516,6/15/16,Female,1727,21.7,25,4.6,0.4,7.471,35.2,36,137,2.7,1.06,43,6800,46,27,18,7/1/16,15,3.2,0.6,7.645,13.1,28,118,2.4,0,20,5000,14,37,21,1,1
27216,6/18/16,Male,600,20.4,12,3,1,7.487,35.5,20,130,3,1.5,381,17800,70,11,9,,,,,,,,,,,,,,,,1,
27916,6/20/16,Female,2554,20.1,7,1.6,1.5,7.571,25,23,112,3.2,0,53,4600,69,4,19,7/2/16,11,3.8,0.4,8.144,18.1,77,126,2.3,0.95,52,5400,52,1,34,1,1
27816,6/20/16,Male,1582,21.1,25,5,0.5,7.451,46.1,42,140,3.5,1.45,103,7200,77,2,11,7/2/16,19,4.2,0.6,7.994,19.3,107,126,2.9,1.1,46,9200,75,10,11,1,1
28116,6/21/16,Female,997,21.6,22,1.8,3.3,7.636,24.2,59,121,3.5,1.49,90,2600,10,11,40,7/1/16,26,2,2.2,7.713,26,86,109,2.3,1.49,76,4200,5,70,12,1,1
28216,6/21/16,Male,344,20.5,7,1.4,15.3,7.168,11.6,30,126,5.3,0.91,545,6400,61,21,10,,,,,,,,,,,,,,,,0,0
29416,6/27/16,Male,552,23.2,1,5.2,3.9,7.771,30.2,29,171,3.8,1.24,159,,,,,,,,,,,,,,,,,,,,0,0
30616,7/1/16,Female,1564,21,1.1,14,1.8,7.643,28.5,20,127,4,1.41,88,6400,80,12,0,,,,,,,,,,,,,,,,1,
31116,7/1/16,Male,2104,22.3,14.1,18,6,7.454,19.1,24,128,4.2,0.82,253,3800,46,14,27,,,,,,,,,,,,,,,,0,0
31416,7/2/16,Female,3123,21.7,1.6,3.6,1.6,7.765,22.9,0,127,3.4,1.08,92,7400,80,1,9,,,,,,,,,,,,,,,,0,0
34716,7/21/16,Female,4170,21.4,21,3,0.9,7.547,43.7,28,133,3.1,1.23,73,11800,59,27,8,8/1/16,20,3.2,0.5,7.908,19.5,103,128,2.7,1.3,29,10400,50,29,2,1,1
35016,7/22/16,Male,1081,21.6,15,2.4,2.9,7.654,17.9,46,118,3.7,1.01,128,9400,73,15,7,8/1/16,7,2,0.7,7.939,13.8,84,124,2.4,1.33,55,8200,25,46,2,1,1
35216,7/26/16,Male,752,20.8,7,2,4.9,7.805,19,60,140,3.7,1.14,156,10200,55,36,7,,,,,,,,,,,,,,,,0,0
36316,8/2/16,Male,758,20.8,25,2.2,6.8,7.479,32,21,125,4.3,1.2,245,24800,68,22,4,10/25/16,25,3.4,1.7,7.844,18.1,116,131,3.1,1.11,41,11800,26,49,17,1,1
36716,8/2/16,Male,580,21.7,24,3.2,1.4,7.865,17.7,69,138,3.9,1.29,85,9600,63,15,13,8/8/16,25,4,2.6,7.929,15.1,88,129,4.2,1,29,6400,25,53,6,1,1
36916,8/3/16,Male,956,20.7,26,6.2,0.5,7.582,39.6,41,132,2.5,1.26,152,6000,42,21,12,10/11/16,17,5.8,1,8.14,16.7,71,127,3,0,105,11800,64,5,25,1,1
39116,8/16/16,Female,1766,21.2,21,3,11.3,7.744,13.4,29,129,4.2,1.44,47,13800,62,18,12,9/23/16,26,6,0.6,7.724,27,92,133,2.9,1.61,103,10800,62,20,15,1,1
40016,8/29/16,Male,1217,22.0,12,4,1.8,7.593,30.1,31,132,3.2,1.06,248,32000,79,0,3,,,,,,,,,,,,,,,,0,0
40116,8/30/16,Female,1836,23.1,20,3.6,1.4,7.775,21.2,107,125,3.9,0,55,9800,71,6,21,10/25/16,15,3,0.7,7.939,18.3,35,129,3.6,0.91,35,7000,29,27,21,1,1
42116,9/15/16,Female,3827,21.8,20,4,4.4,7.326,60.4,12,130,3.4,0,144,20000,87,0,13,10/11/16,21,6,2.6,7.834,21.7,89,137,3.5,1.13,85,7600,69,6,10,1,1
43316,9/22/16,Female,1762,19.9,20,3,0,7.507,36.5,37,126,2,1.59,179,14800,58,11,30,10/11/16,15,3,1.1,7.92,16,92,129,3.2,1.07,29,9400,53,9,23,1,1
44319,9/23/16,Male,889,23.6,15,5.2,5.9,7.609,26.8,50,129,5.7,0.96,160,7000,72,7,21,11/6/16,18,6,3.3,7.807,26.8,19,135,3.9,1.31,68,13200,72,1,14,1,1
45116,9/24/16,Male,966,21.2,4,2.6,17.2,7.649,18.7,19,117,4.3,0.61,335,16600,79,4,17,,,,,,,,,,,,,,,,0,0
44616,9/24/16,Male,633,21,29,3,2,7.528,35.9,66,132,3.2,0,176,14800,65,6,28,10/11/16,12,3.2,0.5,7.929,16.6,119,134,2.7,1.07,43,7200,29,14,34,1,1
45216,9/26/16,Male,802,21.1,13,3,1,7.096,0,213,124,9,0.25,48,11400,83,1,11,10/11/16,11,3.8,1.6,8.104,15.4,60,137,3.1,0.9,52,7400,66,9,18,1,1
46916,9/30/16,Male,954,23.3,26,3,6.1,7.744,21.9,54,126,4.3,1.13,150,14400,66,21,13,,,,,,,,,,,,,,,,1,